incident_source_id,source_record_id,date,registration,fatalities,source_url,year
14635,19850908053709I,1985-09-08,034156,1,,1985
31489,19880705025609A,1988-07-05,089185,0,,1988
42116,19900217002249A,1990-02-17,090523,1,,1990
52320,19911003059439I,1991-10-03,084519,0,,1991
89027,19970609018319A,1997-06-09,020185,1,,1997
90048,19980517009469A,1998-05-17,148260,0,,1998
96618,20010121001259A,2001-01-21,174771,2,,2001
108320,20040310003919I,2004-03-10,025484,0,,2004
119624,20070818020039A,2007-08-18,185623,1,,2007
123910,20081126854739I,2008-11-26,190158,0,,2008
129122,20100715045469A,2010-07-15,199001,0,,2010
129414,20101025050359A,2010-10-25,199487,3,,2010
152099,20190528017179I,2019-05-28,222972,0,,2019
151480,20190215010299A,2019-02-15,222217,2,,2019
155424,20220623009859I,2022-06-23,229325,0,,2022
166570,20240920022149A,2024-09-20,237680,1,,2024
166221,20250522006829I,2025-05-22,236948,0,,2025
157415,20250401005189A,2025-04-01,236765,1,,2025
78933,19980315003359A,1998-03-15,125738,4,,1998
165201,20240414007279I,2024-04-14,234772,0,,2024
63679,19931010038529A,1993-10-10,126458,1,,1993
56656,19920712024819A,1992-07-12,126340,0,,1992
74081,19960712023869I,1996-07-12,017958,0,,1996
54535,19920301014509I,1992-03-01,091010,0,,1992
137855,20130719012839A,2013-07-19,207536,0,,2013
37093,19890521027139I,1989-05-21,103300,0,,1989
39107,19890802051589I,1989-08-02,127581,0,,1989
55381,19920426011549A,1992-04-26,073194,0,,1992
122321,20080605834609I,2008-06-05,188155,0,,2008
59133,19921228051919A,1992-12-28,134894,0,,1992
74458,19960819023439A,1996-08-19,017949,0,,1996
32315,19880824054799I,1988-08-24,073984,0,,1988
36763,19890422026319I,1989-04-22,121400,0,,1989
67193,19940730020029A,1994-07-30,146507,0,,1994
39124,19890826031919A,1989-08-26,151663,0,,1989
94323,20000721009329A,2000-07-21,020890,0,,2000
142638,20150707015029A,2015-07-07,212816,0,,2015
25563,19870702082259A,1987-07-02,090290,0,,1987
41816,19900207006009I,1990-02-07,097226,0,,1990
49627,19910522032149I,1991-05-22,097164,0,,1991
32851,19880906065079I,1988-09-06,077287,0,,1988
112338,20050421007129I,2005-04-21,032260,0,,2005
158654,20210604006599I,2021-06-04,226655,0,,2021
10719,19850321008559A,1985-03-21,098410,1,,1985
49679,19910511015309A,1991-05-11,080279,0,,1991
92127,20000120022319I,2000-01-20,083750,0,,2000
137376,20130517007159I,2013-05-17,206881,0,,2013
148598,20171101020969I,2017-11-01,218336,0,,2017
138205,20131018019809I,2013-10-18,208239,0,,2013
142310,20150601011989A,2015-06-01,212512,0,,2015
27186,19870915053069A,1987-09-15,162499,0,,1987
78718,19960920034352A,1996-09-20,083559,0,,1996
139058,20140207001809A,2014-02-07,209017,0,,2014
34976,19890115000439A,1989-01-15,069634,2,,1989
95883,20001212038579A,2000-12-12,078063,0,,2000
150671,20180914013569I,2018-09-14,220108,0,,2018
25773,19870815045519A,1987-08-15,044219,2,,1987
45900,19900908048122I,1990-09-08,124519,0,,1990
23982,19870420042759I,1987-04-20,040253,0,,1987
63052,19930903043059I,1993-09-03,080982,0,,1993
112219,20050430019209I,2005-04-30,065509,0,,2005
54449,19920205001989A,1992-02-05,109621,1,,1992
88365,19961023038069I,1996-10-23,168765,0,,1996
70532,19950706028009I,1995-07-06,154758,0,,1995
70705,19950721019159A,1995-07-21,083154,1,,1995
152949,20190926019039I,2019-09-26,223225,1,,2019
66763,19940701018979A,1994-07-01,086612,0,,1994
56660,19920710024929A,1992-07-10,157030,0,,1992
54739,19920407009179A,1992-04-07,098433,0,,1992
32399,19880822058299I,1988-08-22,146995,0,,1988
164477,20230608012829A,2023-06-08,233035,0,,2023
124045,20081022851371A,2008-10-22,189685,0,,2008
140236,20140920019299A,2014-09-20,210797,0,,2014
121978,20080415831749A,2008-04-15,187537,1,,2008
89399,19970915036439I,1997-09-15,084265,0,,1997
159583,20230305001729I,2023-03-05,231668,0,,2023
81733,19970701016389A,1997-07-01,072004,0,,1997
121085,20071022831999I,2007-10-22,187661,0,,2007
31820,19880716026729A,1988-07-16,084870,0,,1988
134945,20120719014449I,2012-07-19,204664,0,,2012
72133,19951118037749A,1995-11-18,085225,1,,1995
59216,19930112001679I,1993-01-12,075991,0,,1993
106296,20030730023659I,2003-07-30,028756,0,,2003
37809,19890615015679A,1989-06-15,075614,1,,1989
120843,20071121827919A,2007-11-21,186522,0,,2007
73461,19950911034699I,1995-09-11,124651,0,,1995
80003,19981112041379I,1998-11-12,138759,0,,1998
79586,19980915034719A,1998-09-15,026565,2,,1998
21916,19861208082699I,1986-12-08,109361,0,,1986
147911,20170930014269I,2017-09-30,217580,1,,2017
11793,19850513016449A,1985-05-13,127100,0,,1985
105062,20030518011059I,2003-05-18,023325,0,,2003
25135,19870720042029A,1987-07-20,067147,0,,1987
147436,20170617012159I,2017-06-17,217368,0,,2017
114788,20060102000339A,2006-01-02,174546,0,,2006
