family_aircraft_id,member_aircraft_id
88,60
88,88
88,89
88,91
88,180
88,183
88,199
88,205
88,241
88,250
88,273
88,287
88,457
88,508
88,737
88,740
88,756
88,767
88,774
88,792
88,802
88,854
88,877
88,911
88,912
88,920
88,922
88,927
88,947
88,964
88,978
88,984
88,995
88,1027
88,1031
88,1046
88,1088
88,1108
88,1131
88,1140
88,1151
88,1161
88,1195
88,1205
88,1223
206,190
206,206
206,219
206,408
206,463
206,684
206,812
206,989
206,1010
206,1041
206,1047
206,1060
206,1076
206,1084
206,1115
206,1200
206,1234
206,1246
206,1254
206,1264
185,162
185,185
185,277
185,288
185,572
185,732
185,766
185,1004
185,1020
185,1040
185,1066
172,172
172,201
172,285
172,334
172,352
172,357
172,428
172,539
172,1203
172,1204
172,1212
172,1225
172,1226
172,1247
172,1260
49,49
49,209
49,256
49,326
49,338
49,394
49,399
49,499
49,510
49,523
49,630
49,640
49,671
49,683
49,722
49,1091
49,1097
49,1099
49,1139
49,1143
49,1166
49,1170
49,1193
49,1207
49,1210
49,1217
49,1224
49,1244
49,1248
49,1255
49,1258
49,1263
48,46
48,47
48,48
48,641
48,705
48,710
97,43
97,44
97,64
97,71
97,72
97,74
97,75
97,78
97,84
97,87
97,92
97,95
97,97
97,102
97,110
97,111
97,116
97,118
97,120
97,127
97,130
97,132
97,133
97,136
97,143
97,146
97,152
97,156
97,160
97,186
97,192
97,203
97,215
97,238
97,257
97,281
97,294
97,306
97,314
97,325
97,332
97,346
97,366
97,412
97,414
97,446
97,460
97,475
97,565
97,635
97,692
97,728
97,731
97,738
97,739
97,757
97,765
97,768
97,772
97,779
97,780
97,784
97,786
97,790
97,807
97,817
97,818
97,821
97,823
97,826
97,828
97,829
97,830
97,833
97,834
97,835
97,836
97,837
97,839
97,840
97,841
97,842
97,843
97,848
97,852
97,853
97,855
97,857
97,858
97,861
97,862
97,863
97,872
97,873
97,881
97,882
97,887
97,890
97,896
97,899
97,900
97,904
97,905
97,914
97,917
97,925
97,929
97,931
97,936
97,937
97,938
97,939
97,942
97,946
97,950
97,952
97,962
97,970
97,971
97,983
97,986
97,990
97,993
97,994
97,1001
97,1013
97,1014
97,1015
97,1019
97,1025
97,1026
97,1029
97,1039
97,1048
97,1051
97,1053
97,1057
97,1058
97,1079
97,1080
97,1082
97,1083
97,1093
97,1096
97,1098
97,1106
97,1113
97,1123
97,1126
97,1134
97,1156
97,1173
97,1181
97,1185
97,1215
77,51
77,69
77,77
77,109
77,171
77,173
77,193
77,197
77,231
77,248
77,286
77,290
77,309
77,315
77,342
77,376
77,405
77,416
77,432
77,433
77,440
77,448
77,485
77,489
77,493
77,501
77,550
77,623
77,633
77,700
77,712
77,747
77,759
77,763
77,795
77,808
77,847
77,875
77,935
77,944
77,959
77,963
77,997
77,998
77,1007
77,1030
77,1045
77,1049
77,1064
77,1068
77,1069
77,1087
77,1103
77,1111
77,1124
77,1136
77,1149
77,1162
77,1209
77,1211
77,1221
77,1229
77,1259
77,1261
70,50
70,55
70,57
70,59
70,65
70,66
70,70
70,80
70,83
70,85
70,101
70,103
70,105
70,112
70,122
70,126
70,128
70,139
70,148
70,159
70,163
70,167
70,198
70,211
70,220
70,222
70,229
70,233
70,236
70,251
70,252
70,261
70,268
70,270
70,279
70,304
70,305
70,311
70,355
70,358
70,359
70,360
70,361
70,362
70,391
70,400
70,403
70,406
70,420
70,424
70,434
70,437
70,441
70,444
70,462
70,466
70,467
70,470
70,471
70,474
70,479
70,486
70,511
70,512
70,516
70,580
70,583
70,608
70,621
70,632
70,638
70,652
70,673
70,686
70,693
70,715
70,716
70,736
70,742
70,745
70,749
70,755
70,762
70,764
70,770
70,787
70,789
70,797
70,798
70,804
70,805
70,810
70,813
70,822
70,824
70,827
70,832
70,838
70,849
70,864
70,866
70,867
70,869
70,874
70,884
70,888
70,891
70,893
70,894
70,901
70,903
70,906
70,923
70,941
70,943
70,945
70,951
70,955
70,967
70,969
70,976
70,985
70,992
70,999
70,1003
70,1009
70,1011
70,1012
70,1016
70,1017
70,1023
70,1024
70,1033
70,1035
70,1036
70,1038
70,1042
70,1055
70,1059
70,1062
70,1063
70,1073
70,1085
70,1092
70,1095
70,1100
70,1104
70,1127
70,1132
70,1133
70,1135
70,1150
70,1153
70,1163
70,1174
70,1176
70,1178
70,1179
70,1183
70,1187
70,1188
70,1190
70,1191
70,1197
70,1206
70,1218
70,1222
70,1232
70,1238
70,1241
70,1242
70,1245
70,1265
212,52
212,76
212,81
212,94
212,99
212,100
212,106
212,142
212,153
212,165
212,168
212,175
212,177
212,200
212,212
212,214
212,227
212,237
212,245
212,278
212,282
212,293
212,302
212,303
212,307
212,317
212,322
212,333
212,353
212,356
212,367
212,375
212,388
212,396
212,410
212,421
212,430
212,438
212,452
212,453
212,454
212,459
212,469
212,496
212,503
212,521
212,525
212,531
212,541
212,556
212,581
212,596
212,605
212,607
212,644
212,661
212,681
212,682
212,719
212,723
212,744
212,753
212,771
212,783
212,799
212,800
212,801
212,816
212,844
212,845
212,865
212,932
212,934
212,954
212,960
212,972
212,981
212,991
212,1028
212,1037
212,1061
212,1072
212,1102
212,1121
212,1137
212,1157
212,1167
212,1180
212,1182
212,1189
212,1199
212,1208
212,1216
212,1227
212,1228
212,1230
212,1231
212,1233
212,1236
212,1237
212,1240
212,1243
212,1252
212,1253
212,1256
194,53
194,178
194,194
194,196
194,210
194,216
194,230
194,242
194,244
194,272
194,328
194,331
194,350
194,354
194,380
194,381
194,383
194,418
194,476
194,477
194,482
194,484
194,487
194,509
194,536
194,544
194,546
194,562
194,576
194,594
194,606
194,619
194,625
194,654
194,659
194,690
194,699
194,720
194,725
194,726
194,1075
194,1090
194,1114
194,1118
194,1159
194,1184
194,1213
194,1220
194,1266
18,18
18,19
18,20
18,21
18,182
18,202
18,221
18,343
18,369
18,377
18,378
18,386
18,397
18,401
18,404
18,417
18,436
18,502
18,513
18,514
18,518
18,537
18,551
18,558
18,574
18,584
18,592
18,650
18,655
18,674
18,1005
18,1008
18,1044
18,1070
18,1077
18,1078
18,1155
18,1194
18,1198
25,24
25,25
25,26
25,27
25,181
25,187
25,323
25,341
25,348
25,429
25,442
25,494
25,530
25,535
25,554
25,555
25,585
25,591
25,602
25,610
25,613
25,646
25,709
25,1144
25,1146
25,1152
25,1171
25,1262
33,33
33,34
33,35
33,647
33,714
33,1251
36,36
36,628
36,1250
